Date,Region,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
2021-10-22,BLZ,,,,
2021-10-22,BMU,89029,45291,43738,
2021-10-22,BOL,7456121,4464937,3754945,156157
2021-10-22,BRA,267964026,157679997,108994434,6117946
2021-10-22,BRB,,,,
2021-10-22,BRN,588206,347147,241059,
2021-10-22,BTN,,,,
2021-10-22,BWA,,,,
2021-10-22,CAF,,,,
2021-10-22,CAN,58166682,29696355,27992400,477927
2021-10-22,CHE,10991961,5707748,,947
2021-10-22,CHL,35370360,16343290,14667414,4930773
2021-10-22,CHN,2243018000,,,
2021-10-22,CIV,3005741,,,
2021-10-22,CMR,,,,
2021-10-22,COD,,,,
2021-10-22,COG,,,,
2021-10-22,COK,,,,
2021-10-22,COL,45687674,29231578,20375431,
2021-10-22,COM,,,,
2021-10-22,CPV,,,,
2021-10-22,CRI,,,,
2021-10-22,CUB,25275700,9795606,6983098,
2021-10-22,CUW,191325,99629,91696,
2021-10-22,CYM,111027,55991,53684,
2021-10-22,CYP,,,,
2021-10-22,CZE,12109290,6180619,6074101,113766
2021-10-22,DEU,112946884,58422933,54943902,1721528
2021-10-22,DJI,,,,
2021-10-22,DMA,50991,27412,23579,
2021-10-22,DNK,8793334,4354640,4302333,181180
2021-10-22,DOM,13020830,6605259,5242777,1172794
2021-10-22,DZA,,,,
2021-10-22,ECU,21956630,12176500,10165274,16048
2021-10-22,EGY,,,,
2021-10-22,ESP,,,,
2021-10-22,EST,1428229,778656,756937,49478
2021-10-22,ETH,4265144,3201732,,
2021-10-22,FIN,,,,
2021-10-22,FJI,,,,
2021-10-22,FRA,98949374,51652945,45824258,2546251
2021-10-22,FRO,,,,
2021-10-22,GAB,,,,
2021-10-22,GBR,100818583,49649389,45513120,5656074
2021-10-22,GEO,,,,
2021-10-22,GHA,,,,
2021-10-22,GIB,85576,40440,39802,5334
2021-10-22,GIN,,,,
2021-10-22,GMB,254945,226927,214527,
2021-10-22,GNB,,,,
2021-10-22,GNQ,,,,
2021-10-22,GRC,12733298,6583131,6334956,270973
2021-10-22,GRD,67959,37675,30284,
2021-10-22,GRL,,,,
2021-10-22,GTM,8295369,5179616,3115753,
2021-10-22,GUY,,,,
2021-10-22,HKG,8958336,4583065,4374824,447
2021-10-22,HND,6605470,3841202,2764643,
2021-10-22,HRV,3554203,1885279,1772187,
2021-10-22,HTI,,,,
2021-10-22,HUN,,,,
2021-10-22,IDN,177812708,111496041,66316667,
2021-10-22,IMN,,,,
2021-10-22,IND,1009945663,712404590,297541073,
2021-10-22,IRL,7586058,3855481,3792642,178949
2021-10-22,IRN,,,,
2021-10-22,IRQ,,,,
2021-10-22,ISL,,,,
2021-10-22,ISR,15905096,6249127,5745847,3910122
2021-10-22,ITA,88771419,46576252,42649211,1043171
2021-10-22,JAM,887675,575243,355843,
2021-10-22,JOR,7310446,3858464,3451982,
2021-10-22,JPN,188189708,98308885,89880823,
2021-10-22,KAZ,15394361,8124473,7269888,
2021-10-22,KEN,4902772,3493570,1414202,
2021-10-22,KGZ,1656272,941483,712861,
2021-10-22,KHM,27163990,13652232,12941476,1623433
2021-10-22,KIR,,,,
2021-10-22,KNA,49817,25763,24054,
2021-10-22,KOR,75279648,40552817,35521674,32249
2021-10-22,KWT,,,,
2021-10-22,LAO,,,,
2021-10-22,LBN,3188804,1727706,1461098,
2021-10-22,LBR,358079,,249861,
2021-10-22,LBY,,,,
2021-10-22,LCA,,,,
2021-10-22,LIE,48312,24860,,
2021-10-22,LKA,27801336,14868800,12932536,
2021-10-22,LSO,,,,
2021-10-22,LTU,3349920,1794583,1709587,64832
2021-10-22,LUX,814636,428461,,11307
2021-10-22,LVA,1864415,1091794,970456,5298
2021-10-22,MAC,,,,
2021-10-22,MAR,,,,
2021-10-22,MCO,,,,
2021-10-22,MDA,1483643,,847840,
2021-10-22,MDG,,,,
2021-10-22,MDV,,,,
2021-10-22,MEX,113957610,69724549,52499013,
2021-10-22,MKD,1574184,800718,767800,5666
2021-10-22,MLI,,,,
2021-10-22,MLT,865419,427651,426181,
2021-10-22,MMR,,,,
2021-10-22,MNE,491945,254830,237115,
2021-10-22,MNG,,,,
2021-10-22,MOZ,,,,
2021-10-22,MRT,,,,
2021-10-22,MSR,,,,
2021-10-22,MUS,,,,
2021-10-22,MWI,1178109,922158,531434,
2021-10-22,MYS,49405010,25590121,23898124,91297
2021-10-22,NAM,,,,
2021-10-22,NCL,,,,
2021-10-22,NER,,,,
2021-10-22,NGA,,,,
2021-10-22,NIC,1306694,944476,362357,
2021-10-22,NIU,,,,
2021-10-22,NLD,22552716,12092938,11140230,
2021-10-22,NOR,8033259,4213671,3741156,78432
2021-10-22,NPL,,,,
2021-10-22,NRU,,,,
2021-10-22,NZL,6567542,3624071,2942960,511
2021-10-22,OMN,,,,
2021-10-22,PAK,,,,
2021-10-22,PAN,,,,
2021-10-22,PER,33957629,18660841,15129236,167552
2021-10-22,PHL,,,,
2021-10-22,PNG,,,,
2021-10-22,POL,,,,
2021-10-22,PRT,16640067,9126030,8377900,230835
2021-10-22,PRY,5165112,,,6360
2021-10-22,PSE,,,,
2021-10-22,PYF,,,,
2021-10-22,QAT,4805934,,,
2021-10-22,ROU,11609017,,5828308,
2021-10-22,RUS,100030674,52450463,,1544042
2021-10-22,RWA,,,,
2021-10-22,SAU,45091787,24028992,21062795,
2021-10-22,SDN,,,,
2021-10-22,SEN,,,,
2021-10-22,SGP,10033475,4760212,4534528,691082
2021-10-22,SLB,,,,
2021-10-22,SLE,,,,
2021-10-22,SLV,,,,
2021-10-22,SMR,,,,
2021-10-22,SOM,,,,
2021-10-22,SRB,,,,
2021-10-22,SSD,,,,
2021-10-22,STP,,,,
2021-10-22,SUR,439539,246031,193508,
2021-10-22,SVK,,,,
2021-10-22,SVN,2190470,1183092,1109057,39213
2021-10-22,SWE,,,,
2021-10-22,SWZ,,,,
2021-10-22,SXM,50410,26220,24190,
2021-10-22,SYC,,,,
2021-10-22,SYR,,,,
2021-10-22,TCA,,,,
2021-10-22,TCD,,,,
2021-10-22,TGO,,,,
2021-10-22,THA,69217162,39358277,27774180,2084705
2021-10-22,TJK,,,,
2021-10-22,TKL,,,,
2021-10-22,TKM,,,,
2021-10-22,TLS,,,,
2021-10-22,TON,,,,
2021-10-22,TTO,1197055,648967,580553,
2021-10-22,TUN,8854357,5472941,4321918,
2021-10-22,TUR,115040699,55115287,47962680,11962732
2021-10-22,TUV,12114,6230,5884,
2021-10-22,TZA,,,,
2021-10-22,UGA,,,,
2021-10-22,UKR,15676299,8760922,6936057,
2021-10-22,URY,6600335,2726417,2635219,1238699
2021-10-22,USA,421928294,220009783,195979799,15891987
2021-10-22,UZB,24710357,13081265,,
2021-10-22,VCT,38137,23187,14950,
2021-10-22,VEN,,,,
2021-10-22,VGB,33527,17765,15762,
2021-10-22,VNM,71889209,51157792,20731417,
2021-10-22,VUT,,,,
2021-10-22,WLF,,,,
2021-10-22,WSM,,,,
2021-10-22,YEM,,,,
2021-10-22,ZAF,,,,
2021-10-22,ZMB,871881,,511004,
2021-10-22,ZWE,5792394,3262463,2529931,
2021-10-23,ABW,,,,
2021-10-23,AFG,,,,
2021-10-23,AGO,,,,
2021-10-23,AIA,,,,
2021-10-23,ALB,,,,
2021-10-23,AND,,,,
2021-10-23,ARE,20861737,,,
2021-10-23,ARG,59407281,33588681,23373243,3856
2021-10-23,ARM,,,,
2021-10-23,ATG,104500,55703,48797,
2021-10-23,AUS,34143402,18652593,15484232,6577
2021-10-23,AUT,,,,
2021-10-23,AZE,9353744,,4310597,
2021-10-23,BDI,,,,
2021-10-23,BEL,17475497,8737792,8593297,550053
2021-10-23,BEN,,,,
2021-10-23,BFA,,,,
2021-10-23,BGD,60153454,39888958,20264496,
2021-10-23,BGR,,,1436426,12287
2021-10-23,BHR,2735992,1172869,1137010,
2021-10-23,BHS,,,,
2021-10-23,BIH,,,,
2021-10-23,BLR,,,,
2021-10-23,BLZ,,,,
2021-10-23,BMU,,,,
2021-10-23,BOL,7465334,4468388,3758351,159582
2021-10-23,BRA,268638494,157810514,109422127,6234557
2021-10-23,BRB,268224,146877,121347,
2021-10-23,BRN,,,,
2021-10-23,BTN,,,,
2021-10-23,BWA,,,,
2021-10-23,CAF,,,,
2021-10-23,CAN,58215150,29711024,28020899,483227
2021-10-23,CHE,11006928,5712008,,954
2021-10-23,CHL,35380034,16344705,14668664,4937795
2021-10-23,CHN,2244727000,,1067621000,
2021-10-23,CIV,,,,
2021-10-23,CMR,497689,411601,155738,
2021-10-23,COD,,,,
2021-10-23,COG,,,,
2021-10-23,COK,,,,
2021-10-23,COL,45879607,29331273,20498474,
2021-10-23,COM,,,,
2021-10-23,CPV,,,,
2021-10-23,CRI,,,,
2021-10-23,CUB,25330666,9802963,7013247,
2021-10-23,CUW,192022,100129,91893,
2021-10-23,CYM,,,,
2021-10-23,CYP,,,,
2021-10-23,CZE,12117517,6184307,6076320,117436
2021-10-23,DEU,112986648,58436875,54959884,1731693
2021-10-23,DJI,,,,
2021-10-23,DMA,,,,
2021-10-23,DNK,,,,
2021-10-23,DOM,13046499,6618207,5250652,1177640
2021-10-23,DZA,,,,
2021-10-23,ECU,21973130,12186611,10170050,17934
2021-10-23,EGY,25083832,16744829,8339003,
2021-10-23,ESP,,,,
2021-10-23,EST,1430906,780259,758295,50190
2021-10-23,ETH,,,,
2021-10-23,FIN,,,,
2021-10-23,FJI,,,,
2021-10-23,FRA,99063136,51679979,45865563,2591791
2021-10-23,FRO,,,,
2021-10-23,GAB,,,,
2021-10-23,GBR,101259347,49689481,45543363,6026503
2021-10-23,GEO,,,,
2021-10-23,GHA,,,,
2021-10-23,GIB,85967,40471,39803,5693
2021-10-23,GIN,,,,
2021-10-23,GMB,,,,
2021-10-23,GNB,,,,
2021-10-23,GNQ,,,,
2021-10-23,GRC,12759638,6593241,6342127,280980
2021-10-23,GRD,,,,
2021-10-23,GRL,,,,
2021-10-23,GTM,8316740,5189377,3127363,
2021-10-23,GUY,,,,
2021-10-23,HKG,8972436,4587588,4384392,456
2021-10-23,HND,,,,
2021-10-23,HRV,3557853,1886923,1774037,
2021-10-23,HTI,,,,
2021-10-23,HUN,,,,
2021-10-23,IDN,179437660,112271928,67165732,
2021-10-23,IMN,,,,
2021-10-23,IND,1013637431,714084133,299553298,
2021-10-23,IRL,7591595,3857443,3794839,180329
2021-10-23,IRN,79533819,50604321,28872959,56539
2021-10-23,IRQ,,,,
2021-10-23,ISL,,,,
2021-10-23,ISR,15909502,6249702,5747113,3912687
2021-10-23,ITA,88905330,46600536,42707006,1095213
2021-10-23,JAM,891142,577283,358007,
2021-10-23,JOR,7330320,3869489,3460831,
2021-10-23,JPN,189121998,98575258,90546740,
2021-10-23,KAZ,15446184,8145620,7300564,
2021-10-23,KEN,4930336,3504400,1425936,
2021-10-23,KGZ,1661058,944443,714684,
2021-10-23,KHM,27243478,13658227,12967268,1671134
2021-10-23,KIR,,,,
2021-10-23,KNA,,,,
2021-10-23,KOR,75666369,40604504,35856026,33001
2021-10-23,KWT,,,,
2021-10-23,LAO,,,,
2021-10-23,LBN,3189569,1728122,1461447,
2021-10-23,LBR,,,,
2021-10-23,LBY,,,,
2021-10-23,LCA,,,,
2021-10-23,LIE,48312,24861,,
2021-10-23,LKA,27966717,14928248,13038469,
2021-10-23,LSO,,,,
2021-10-23,LTU,3351181,1795233,1710106,65205
2021-10-23,LUX,815918,429000,,11698
2021-10-23,LVA,1874732,1100417,975349,5525
2021-10-23,MAC,,,,
2021-10-23,MAR,,,,
2021-10-23,MCO,,,,
2021-10-23,MDA,1485935,,849435,
2021-10-23,MDG,,,,
2021-10-23,MDV,748413,394049,354364,
2021-10-23,MEX,114558359,69879788,52949966,
2021-10-23,MKD,,,,
2021-10-23,MLI,,,,
2021-10-23,MLT,866963,427948,426374,
2021-10-23,MMR,18089109,12387573,5701536,
2021-10-23,MNE,493462,255222,238240,
2021-10-23,MNG,,,,
2021-10-23,MOZ,,,,
2021-10-23,MRT,,,,
2021-10-23,MSR,,,,
2021-10-23,MUS,,,,
2021-10-23,MWI,1183633,926939,533726,
2021-10-23,MYS,49526284,25602704,23999020,99684
2021-10-23,NAM,,,,
2021-10-23,NCL,,,,
2021-10-23,NER,,,,
2021-10-23,NGA,8402127,5526303,2875824,
2021-10-23,NIC,,,,
2021-10-23,NIU,,,,
2021-10-23,NLD,,,,
2021-10-23,NOR,8033394,4213719,3741207,78468
2021-10-23,NPL,,,,
2021-10-23,NRU,,,,
2021-10-23,NZL,6610312,3635962,2973803,547
2021-10-23,OMN,5679984,3065137,2614847,
2021-10-23,PAK,100741762,68666464,38596890,
2021-10-23,PAN,,,,
2021-10-23,PER,34219029,18767878,15276242,174909
2021-10-23,PHL,,,,
2021-10-23,PNG,,,,
2021-10-23,POL,38621872,20113535,19830320,
2021-10-23,PRT,,,,
2021-10-23,PRY,,,,
2021-10-23,PSE,,,,
2021-10-23,PYF,,,,
2021-10-23,QAT,4807293,,,
2021-10-23,ROU,11736326,,5876290,
2021-10-23,RUS,100766655,52861352,,1547684
2021-10-23,RWA,5394793,3632110,1762683,
2021-10-23,SAU,45172188,24057315,21114873,
2021-10-23,SDN,,,,
2021-10-23,SEN,,,,
2021-10-23,SGP,10058103,4762019,4538726,709685
2021-10-23,SLB,,,,
2021-10-23,SLE,,,,
2021-10-23,SLV,,,,
2021-10-23,SMR,,,,
2021-10-23,SOM,,,,
2021-10-23,SRB,6948020,3118348,2982313,847359
2021-10-23,SSD,,,,
2021-10-23,STP,,,,
2021-10-23,SUR,440557,246469,194088,
2021-10-23,SVK,,,,
2021-10-23,SVN,2190889,1183239,1109266,39282
2021-10-23,SWE,,,,
2021-10-23,SWZ,,,,
2021-10-23,SXM,,,,
2021-10-23,SYC,,,,
2021-10-23,SYR,,,,
2021-10-23,TCA,,,,
2021-10-23,TCD,,,,
2021-10-23,TGO,,,,
2021-10-23,THA,69923540,39708520,28106044,2108976
2021-10-23,TJK,,,,
2021-10-23,TKL,,,,
2021-10-23,TKM,,,,
2021-10-23,TLS,,,,
2021-10-23,TON,,,,
2021-10-23,TTO,1200876,650206,583447,
2021-10-23,TUN,8885559,5485746,4342563,
2021-10-23,TUR,115164597,55144241,48043489,11976867
2021-10-23,TUV,,,,
2021-10-23,TZA,,,,
2021-10-23,UGA,,,,
2021-10-23,UKR,15854029,8890452,6984257,
2021-10-23,URY,6600368,2726427,2635231,1238710
2021-10-23,USA,422761685,220181535,196113930,16426173
2021-10-23,UZB,24909801,13149792,,
2021-10-23,VCT,39324,23745,15579,
2021-10-23,VEN,,,,
2021-10-23,VGB,,,,
2021-10-23,VNM,72929311,51883474,21045837,
2021-10-23,VUT,,,,
2021-10-23,WLF,,,,
2021-10-23,WSM,,,,
2021-10-23,YEM,,,,
2021-10-23,ZAF,21300098,14742868,11546163,
2021-10-23,ZMB,,,,
2021-10-23,ZWE,5804480,3267571,2536909,
2021-10-24,ABW,,,,
2021-10-24,AFG,,,,
2021-10-24,AGO,5940208,,,
2021-10-24,AIA,,,,
2021-10-24,ALB,1873903,998130,875773,
2021-10-24,AND,,,,
2021-10-24,ARE,20875213,9583589,8594571,2697053
2021-10-24,ARG,59553277,33711133,23395819,3878
2021-10-24,ARM,709345,497971,211374,
2021-10-24,ATG,,,,
2021-10-24,AUS,34268948,18692857,15569263,6828
2021-10-24,AUT,,,,
2021-10-24,AZE,9383303,,4323145,
2021-10-24,BDI,,,,
2021-10-24,BEL,17476028,8738046,8593420,550220
2021-10-24,BEN,,,,
2021-10-24,BFA,380344,,278016,
2021-10-24,BGD,,,,
2021-10-24,BGR,2718716,1532911,,
2021-10-24,BHR,2741537,1173266,1137725,
2021-10-24,BHS,,,,
2021-10-24,BIH,,,,
2021-10-24,BLR,4766181,2759758,2006423,
2021-10-24,BLZ,,,,
2021-10-24,BMU,,,,
2021-10-24,BOL,7470155,4470358,3760075,161269
2021-10-24,BRA,269442502,157986323,109945760,6340977
2021-10-24,BRB,268945,147118,121827,
2021-10-24,BRN,592613,348782,243831,
2021-10-24,BTN,1104456,586321,518135,
2021-10-24,BWA,,,,
2021-10-24,CAF,,,,
2021-10-24,CAN,58254388,29723597,28045698,485093
2021-10-24,CHE,11008635,5712468,,956
2021-10-24,CHL,35381067,16344833,14668728,4938636
2021-10-24,CHN,2246217000,,,
2021-10-24,CIV,3046263,2205593,840670,
2021-10-24,CMR,,,,
2021-10-24,COD,,,,
2021-10-24,COG,,,,
2021-10-24,COK,,,,
2021-10-24,COL,46007541,29387056,20586698,
2021-10-24,COM,,,,
2021-10-24,CPV,494079,292866,201213,
2021-10-24,CRI,,,,
2021-10-24,CUB,25357844,9805148,7030356,
2021-10-24,CUW,,,,
2021-10-24,CYM,,,,
2021-10-24,CYP,,,,
2021-10-24,CZE,12123248,6187000,6078108,119937
2021-10-24,DEU,112998643,58440911,54964892,1734669
2021-10-24,DJI,,,,
2021-10-24,DMA,,,,
2021-10-24,DNK,,,,
2021-10-24,DOM,13055947,6623121,5253400,1179426
2021-10-24,DZA,11080739,6328806,4751933,
2021-10-24,ECU,21979057,12190340,10171512,18772
2021-10-24,EGY,,,,
2021-10-24,ESP,71344477,37979234,37234272,480249
2021-10-24,EST,1432607,781350,759227,50586
2021-10-24,ETH,4293855,3217099,,
2021-10-24,FIN,8095450,4211490,3805065,78895
2021-10-24,FJI,,,,
2021-10-24,FRA,99074538,51682926,45870361,2595487
2021-10-24,FRO,,,,
2021-10-24,GAB,,,,
2021-10-24,GBR,101473681,49715228,45561445,6197008
2021-10-24,GEO,,,,
2021-10-24,GHA,,,,
2021-10-24,GIB,86700,40546,39803,6351
2021-10-24,GIN,2169910,1461969,707941,
2021-10-24,GMB,,,,
2021-10-24,GNB,127936,117488,10448,
2021-10-24,GNQ,,,,
2021-10-24,GRC,12759982,6593448,6342240,281033
2021-10-24,GRD,,,,
2021-10-24,GRL,,,,
2021-10-24,GTM,8329583,5195331,3134252,
2021-10-24,GUY,,,,
2021-10-24,HKG,8979482,4590089,4388908,485
2021-10-24,HND,,,,
2021-10-24,HRV,3558842,1887251,1774513,
2021-10-24,HTI,,,,
2021-10-24,HUN,12596132,5938665,5718873,1104000
2021-10-24,IDN,180948208,113032768,67915440,
2021-10-24,IMN,,,,
2021-10-24,IND,1022267850,717676310,304591540,
2021-10-24,IRL,7594279,3858691,3795716,180890
2021-10-24,IRN,,,,
2021-10-24,IRQ,8972041,5621027,3351014,
2021-10-24,ISL,,,,
2021-10-24,ISR,15924530,6252220,5749766,3922544
2021-10-24,ITA,88973015,46612949,42738908,1118749
2021-10-24,JAM,893629,578617,359717,
2021-10-24,JOR,7354774,3884920,3469854,
2021-10-24,JPN,189794225,98742586,91051639,
2021-10-24,KAZ,15477640,8159043,7318597,
2021-10-24,KEN,4944441,3513683,1430758,
2021-10-24,KGZ,1667139,947865,717333,
2021-10-24,KHM,27309793,13663527,12988266,1711151
2021-10-24,KIR,,,,
2021-10-24,KNA,,,,
2021-10-24,KOR,75687126,40608470,35873217,33129
2021-10-24,KWT,,,,
2021-10-24,LAO,,,,
2021-10-24,LBN,3189658,1728149,1461509,
2021-10-24,LBR,,,,
2021-10-24,LBY,1863974,1493267,370707,
2021-10-24,LCA,,,,
2021-10-24,LIE,,,,
2021-10-24,LKA,28102233,14975778,13126455,
2021-10-24,LSO,,,,
2021-10-24,LTU,3351892,1795653,1710417,65408
2021-10-24,LUX,815955,429004,,11716
2021-10-24,LVA,1877896,1103030,976843,5598
2021-10-24,MAC,,,,
2021-10-24,MAR,46094289,23662317,21449332,
2021-10-24,MCO,,,,
2021-10-24,MDA,1487315,884590,,
2021-10-24,MDG,,,,
2021-10-24,MDV,748858,394099,354759,
2021-10-24,MEX,115185985,69974180,53487503,
2021-10-24,MKD,,,,
2021-10-24,MLI,,,,
2021-10-24,MLT,867820,428042,426469,
2021-10-24,MMR,,,,
2021-10-24,MNE,494110,255443,238667,
2021-10-24,MNG,4392350,2254570,2137780,
2021-10-24,MOZ,,,,
2021-10-24,MRT,,,,
2021-10-24,MSR,,,,
2021-10-24,MUS,,,,
2021-10-24,MWI,1188689,931399,536108,
2021-10-24,MYS,49658646,25615073,24111285,108312
2021-10-24,NAM,,,,
2021-10-24,NCL,,,,
2021-10-24,NER,,,,
2021-10-24,NGA,,,,
2021-10-24,NIC,,,,
2021-10-24,NIU,,,,
2021-10-24,NLD,,,,
2021-10-24,NOR,8033423,4213727,3741214,78482
2021-10-24,NPL,,,,
2021-10-24,NRU,,,,
2021-10-24,NZL,6629440,3641332,2987547,561
2021-10-24,OMN,,,,
2021-10-24,PAK,,,,
2021-10-24,PAN,5741258,3029679,2649359,62220
2021-10-24,PER,34423806,18842519,15404143,177144
2021-10-24,PHL,55715693,,25711980,
2021-10-24,PNG,,,,
2021-10-24,POL,38629517,20117277,19833946,
2021-10-24,PRT,,,,
2021-10-24,PRY,,,,
2021-10-24,PSE,,,,
2021-10-24,PYF,,,,
2021-10-24,QAT,4811693,,,
2021-10-24,ROU,11846865,,5919840,
2021-10-24,RUS,,,,
2021-10-24,RWA,,,,
2021-10-24,SAU,45266839,24084544,21182295,
2021-10-24,SDN,,,,
2021-10-24,SEN,,,,
2021-10-24,SGP,10070883,4763184,4540458,719549
2021-10-24,SLB,,,,
2021-10-24,SLE,,,,
2021-10-24,SLV,,,,
2021-10-24,SMR,47303,,,
2021-10-24,SOM,,,,
2021-10-24,SRB,6955928,3120462,2983451,852015
2021-10-24,SSD,,,,
2021-10-24,STP,,,,
2021-10-24,SUR,442033,246951,195082,
2021-10-24,SVK,4912919,2510935,2437137,57212
2021-10-24,SVN,,,,
2021-10-24,SWE,14466887,7221571,6749765,
2021-10-24,SWZ,273523,239875,232148,
2021-10-24,SXM,,,,
2021-10-24,SYC,,,,
2021-10-24,SYR,,,,
2021-10-24,TCA,,,,
2021-10-24,TCD,224180,165934,58246,
2021-10-24,TGO,,,,
2021-10-24,THA,70279624,39881034,28276165,2122425
2021-10-24,TJK,,,,
2021-10-24,TKL,,,,
2021-10-24,TKM,,,,
2021-10-24,TLS,,,,
2021-10-24,TON,,,,
2021-10-24,TTO,1202702,650911,584728,
2021-10-24,TUN,8903687,5489835,4357077,
2021-10-24,TUR,115255712,55164675,48100346,11990691
2021-10-24,TUV,,,,
2021-10-24,TZA,,,,
2021-10-24,UGA,,,,
2021-10-24,UKR,15955360,8965692,7010348,
2021-10-24,URY,6600466,2726434,2635297,1238735
2021-10-24,USA,423237304,220286860,196194757,16718578
2021-10-24,UZB,25101646,13213836,,
2021-10-24,VCT,,,,
2021-10-24,VEN,,,,
2021-10-24,VGB,,,,
2021-10-24,VNM,,,,
2021-10-24,VUT,,,,
2021-10-24,WLF,,,,
2021-10-24,WSM,,,,
2021-10-24,YEM,,,,
2021-10-24,ZAF,,,,
2021-10-24,ZMB,,,,
2021-10-24,ZWE,5816033,3274509,2541524,
2021-10-25,ABW,158921,82417,76504,
2021-10-25,AFG,,,,
2021-10-25,AGO,,,,
2021-10-25,AIA,,,,
2021-10-25,ALB,1879391,1000993,878398,
2021-10-25,AND,,,,
2021-10-25,ARE,20895739,9593822,,
2021-10-25,ARG,59918603,33963103,23502673,3963
2021-10-25,ARM,,,,
2021-10-25,ATG,,,,
2021-10-25,AUS,34501374,18760049,15733744,7581
2021-10-25,AUT,,,,
2021-10-25,AZE,9383669,,4323260,
2021-10-25,BDI,,,,
2021-10-25,BEL,17492479,8741203,8596567,560909
2021-10-25,BEN,,,,
2021-10-25,BFA,,,,
2021-10-25,BGD,60871683,40281045,20590638,
2021-10-25,BGR,2743549,,1448683,13101
2021-10-25,BHR,2746461,1173571,1138329,
2021-10-25,BHS,,,,
2021-10-25,BIH,,,,
2021-10-25,BLR,,,,
2021-10-25,BLZ,,,,
2021-10-25,BMU,,,,
2021-10-25,BOL,7538426,4487799,3785742,189461
2021-10-25,BRA,271861944,158281322,111550520,6864893
2021-10-25,BRB,270102,147436,122666,
2021-10-25,BRN,,,,
2021-10-25,BTN,,,,
2021-10-25,BWA,,,,
2021-10-25,CAF,,,,
2021-10-25,CAN,58356732,29744453,28105253,507026
2021-10-25,CHE,11025572,5717006,,979
2021-10-25,CHL,35658553,16379723,14747622,5102497
2021-10-25,CHN,2248688000,,,
2021-10-25,CIV,,,,
2021-10-25,CMR,,,,
2021-10-25,COD,147734,109579,38155,
2021-10-25,COG,,,,
2021-10-25,COK,,,,
2021-10-25,COL,46222565,29510179,20720822,
2021-10-25,COM,,,,
2021-10-25,CPV,,,,
2021-10-25,CRI,,,,
2021-10-25,CUB,25436117,9820338,7070412,
2021-10-25,CUW,192023,100129,91894,
2021-10-25,CYM,,,,
2021-10-25,CYP,1209400,603580,568285,37535
2021-10-25,CZE,12156334,6197515,6083950,139800
2021-10-25,DEU,113107547,58466637,55006490,1777760
2021-10-25,DJI,,,,
2021-10-25,DMA,,,,
2021-10-25,DNK,,,,
2021-10-25,DOM,13110383,6651836,5269681,1188866
2021-10-25,DZA,,,,
2021-10-25,ECU,22091381,12274051,10197348,22787
2021-10-25,EGY,,,,
2021-10-25,ESP,71366561,37988609,37250048,483728
2021-10-25,EST,1437958,783325,760886,53499
2021-10-25,ETH,4349193,3264531,,
2021-10-25,FIN,,,,
2021-10-25,FJI,1166051,624413,541638,
2021-10-25,FRA,99219347,51709036,45906780,2677985
2021-10-25,FRO,,,,
2021-10-25,GAB,,,,
2021-10-25,GBR,101777928,49753037,45582891,6442000
2021-10-25,GEO,,,,
2021-10-25,GHA,,,,
2021-10-25,GIB,87370,40546,39803,7021
2021-10-25,GIN,,,,
2021-10-25,GMB,,,,
2021-10-25,GNB,,,,
2021-10-25,GNQ,,,,
2021-10-25,GRC,12785479,6602171,6347807,293266
2021-10-25,GRD,,,,
2021-10-25,GRL,77057,40104,36953,
2021-10-25,GTM,8376696,5218647,3158049,
2021-10-25,GUY,615611,377614,237997,
2021-10-25,HKG,8990369,4593903,4395882,584
2021-10-25,HND,,,,
2021-10-25,HRV,3566066,1889710,1777373,
2021-10-25,HTI,,,,
2021-10-25,HUN,,5941073,5721531,1120000
2021-10-25,IDN,181688388,113424379,68264009,
2021-10-25,IMN,131770,67434,64336,
2021-10-25,IND,1024149949,718444141,305705808,
2021-10-25,IRL,7601357,3859944,3796976,185461
2021-10-25,IRN,81360772,51158858,30139400,62514
2021-10-25,IRQ,,,,
2021-10-25,ISL,,,,
2021-10-25,ISR,15938435,6254860,5752519,3931056
2021-10-25,ITA,89143265,46639909,42800665,1200498
2021-10-25,JAM,896658,580421,361567,
2021-10-25,JOR,7378157,3898463,3479694,
2021-10-25,JPN,190259862,98852873,91406989,
2021-10-25,KAZ,15497251,8168114,7329137,
2021-10-25,KEN,5029901,3545060,1484841,
2021-10-25,KGZ,1677709,953834,721857,
2021-10-25,KHM,27356822,13673478,13009481,1727014
2021-10-25,KIR,65279,54026,11253,
2021-10-25,KNA,,,,
2021-10-25,KOR,76208196,40687033,36306477,42499
2021-10-25,KWT,,,,
2021-10-25,LAO,,,,
2021-10-25,LBN,,,,
2021-10-25,LBR,,,,
2021-10-25,LBY,,,,
2021-10-25,LCA,,,,
2021-10-25,LIE,48434,24953,,
2021-10-25,LKA,28144463,14987889,13156574,
2021-10-25,LSO,,,,
2021-10-25,LTU,3359967,1798880,1713643,68556
2021-10-25,LUX,817466,429792,,12309
2021-10-25,LVA,1889656,1112239,982198,6201
2021-10-25,MAC,790170,451006,343230,
2021-10-25,MAR,,,,
2021-10-25,MCO,,,,
2021-10-25,MDA,,,,
2021-10-25,MDG,,,,
2021-10-25,MDV,749426,394176,355250,
2021-10-25,MEX,115624628,70049066,53853917,
2021-10-25,MKD,,,,
2021-10-25,MLI,,,,
2021-10-25,MLT,869715,428415,426734,
